Id	days	survival	SL	Weight
Carp_Off187	10	0	71	15.1	
Carp_Off189	15	0	70	12.9	
Carp_Off19	11	0	79	16.8	
Carp_Off190	18	0	69	12	
Carp_Off191	17	0	71	14.8	
Carp_Off193	9	0	72	14.7	
Carp_Off194	17	0	80	17.1	
Carp_Off195	14	0	81	20.2	
Carp_Off196	16	0	71	14.7	
Carp_Off197	10	0	71	17.2	
Carp_Off199	10	0	74	13.7	
Carp_Off2	11	0	97	30.2	
Carp_Off20	30	1	73	13.7	
Carp_Off200	12	0	77	16.8	
Carp_Off207	16	0	77	14.5	
Carp_Off209	30	1	72	12.8	
Carp_Off21	10	0	73	12.2	
Carp_Off213	8	0	74	13.7	
Carp_Off214	30	1	79	16.5	
Carp_Off216	15	0	78	17.2	
Carp_Off219	7	0	78	17.2	
Carp_Off22	11	0	75	14.8	
Carp_Off220	30	1	75	14	
Carp_Off221	30	1	75	16.1	
Carp_Off223	20	0	66	10.5	
Carp_Off224	30	1	75	16.9	
Carp_Off225	4	0	72	12.2	
Carp_Off229	30	1	85	22.2	
Carp_Off23	4	0	78	16.8	
Carp_Off230	30	1	125	63.7	
Carp_Off231	14	0	75	16.2	
Carp_Off232	30	1	88	23.9	
Carp_Off233	30	1	90	22.5	
Carp_Off234	11	0	84	20.5	
Carp_Off235	7	0	82	17.9	
Carp_Off237	13	0	88	25	
Carp_Off238	10	0	67	11.6	
Carp_Off239	16	0	77	15.5	
Carp_Off24	9	0	64	9.3	
Carp_Off240	7	0	78	17.6	
Carp_Off241	30	1	81	19.7	
Carp_Off242	12	0	73	14.4	
Carp_Off243	30	1	76	15.4	
Carp_Off244	9	0	74	15.2	
Carp_Off245	15	0	78	16.3	
Carp_Off246	10	0	80	19.6	
Carp_Off247	30	1	87	20.4	
Carp_Off248	30	1	73	15.4	
Carp_Off249	9	0	71	13.4	
Carp_Off25	30	1	71	12.7	
Carp_Off250	16	0	80	17.3	
Carp_Off252	18	0	78	17.5	
Carp_Off254	5	0	81	17.6	
Carp_Off255	12	0	82	19.7	
Carp_Off257	30	1	78	15	
Carp_Off259	30	1	77	15.1	
Carp_Off26	30	1	76	16.6	
Carp_Off260	14	0	77	16.7	
Carp_Off261	15	0	75	13.4	
Carp_Off262	30	1	77	13.6	
Carp_Off264	13	0	74	13	
Carp_Off265	30	1	78	17.5	
Carp_Off266	15	0	72	11.4	
Carp_Off267	23	0	78	15.8	
Carp_Off268	30	1	77	16	
Carp_Off269	30	1	76	14	
Carp_Off27	12	0	78	15.9	
Carp_Off270	9	0	70	12.5	
Carp_Off271	30	1	71	13.2	
Carp_Off272	12	0	71	12.8	
Carp_Off273	13	0	68	12.3	
Carp_Off274	30	1	74	13.5	
Carp_Off279	30	1	71	12.5	
Carp_Off28	10	0	75	16	
Carp_Off280	30	1	68	11.6	
Carp_Off281	16	0	65	10	
Carp_Off284	30	1	80	16.3	
Carp_Off285	17	0	76	13.4	
Carp_Off286	10	0	88	21.7	
Carp_Off287	7	0	84	19.9	
Carp_Off288	30	1	95	26.6	
Carp_Off289	30	1	82	19.4	
Carp_Off29	9	0	75	15.1	
Carp_Off290	30	1	77	15.5	
Carp_Off291	30	1	92	21.2	
Carp_Off292	30	1	81	18.1	
Carp_Off293	12	0	80	18.5	
Carp_Off294	11	0	78	15	
Carp_Off296	10	0	76	15.6	
Carp_Off297	12	0	91	22	
Carp_Off298	30	1	81	18.5	
Carp_Off299	13	0	76	15.5	
Carp_Off3	6	0	74	12.2	
Carp_Off30	18	0	75	16.7	
Carp_Off300	30	1	84	21.5	
Carp_Off302	17	0	71	16.9	
Carp_Off303	30	1	70	13.6	
Carp_Off304	14	0	74	15.3	
Carp_Off306	19	0	69	12.9	
